name,texto,cluster_textclass
Supply Runners,"When Supply Runners enters the battlefield, put a +1/+1 counter on each other creature you control.",431
Wakening Sun's Avatar,"When Wakening Sun’s Avatar enters the battlefield, if you cast it from your hand, destroy all non-Dinosaur creatures.",328
"Brinelin, the Moon Kraken","When Brinelin, the Moon Kraken enters the battlefield or whenever you cast a spell with mana value 6 or greater, you may return target nonland permanent to its owner’s hand.Partner (You can have two commanders if both have partner.)",408
Coveted Peacock,"FlyingWhenever Coveted Peacock attacks, you may goad target creature defending player controls. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",153
Ghost of Ramirez DePietro,"Ghost of Ramirez DePietro can’t be blocked by creatures with toughness 3 or greater.Whenever Ghost of Ramirez DePietro deals combat damage to a player, choose up to one target card in a graveyard that was discarded or put there from a library this turn. Put that card into its owner’s hand.Partner (You can have two commanders if both have partner.)",516
Goliath Sphinx,Flying,21
Inga Rune-Eyes,"When Inga Rune-Eyes enters the battlefield, scry 3.When Inga Rune-Eyes dies, draw three cards if three or more creatures died this turn.",524
"Kaho, Minamo Historian","When Kaho, Minamo Historian enters the battlefield, search your library for up to three instant cards, exile them, then shuffle.{X}, {T}: You may cast a spell with mana value X from among cards exiled with Kaho without paying its mana cost.",117
Looter il-Kor,"Shadow (This creature can block or be blocked by only creatures with shadow.)Whenever Looter il-Kor deals damage to an opponent, draw a card, then discard a card.",51
Renowned Weaponsmith,"{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.{U}, {T}: Search your library for a card named Heart-Piercer Bow or Vial of Dragonfire, reveal it, put it into your hand, then shuffle.",42
Shipwreck Dowser,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)When Shipwreck Dowser enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",52
"Sun Quan, Lord of Wu",Creatures you control have horsemanship. (They can’t be blocked except by creatures with horsemanship.),126
"Tetsuko Umezawa, Fugitive",Creatures you control with power or toughness 1 or less can’t be blocked.,378
"Thryx, the Sudden Storm",FlashFlyingSpells you cast with mana value 5 or greater cost {1} less to cast and can’t be countered.,237
Torrential Gearhulk,"FlashWhen Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",37
"Urza, Lord High Artificer","When Urza, Lord High Artificer enters the battlefield, create a 0/0 colorless Construct artifact creature token with “This creature gets +1/+1 for each artifact you control.”Tap an untapped artifact you control: Add {U}.{5}: Shuffle your library, then exile the top card. Until end of turn, you may play that card without paying its mana cost.",20
Windcaller Aven,"FlyingCycling {U} ({U}, Discard this card: Draw a card.)When you cycle Windcaller Aven, target creature gains flying until end of turn.",115
Windrider Wizard,"FlyingWhenever you cast an instant, sorcery, or Wizard spell, you may draw a card. If you do, discard a card.",446
"Zahid, Djinn of the Lamp",You may pay {3}{U} and tap an untapped artifact you control rather than pay this spell’s mana cost.Flying,20
Cabal Patriarch,"{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.{2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.",35
Cadaver Imp,"FlyingWhen Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.",520
Carrion Grub,"Carrion Grub gets +X/+0, where X is the greatest power among creature cards in your graveyard.When Carrion Grub enters the battlefield, mill four cards. (Put the top four cards of your library into your graveyard.)",511
"Chainer, Dementia Master","All Nightmares get +1/+1.{B}{B}{B}, Pay 3 life: Put target creature card from a graveyard onto the battlefield under your control. That creature is black and is a Nightmare in addition to its other creature types.When Chainer, Dementia Master leaves the battlefield, exile all Nightmares.",70
Demon's Disciple,"When Demon’s Disciple enters the battlefield, each player sacrifices a creature or planeswalker.",219
Demonlord Belzenlok,"Flying, trampleWhen Demonlord Belzenlok enters the battlefield, exile cards from the top of your library until you exile a nonland card, then put that card into your hand. If the card’s mana value is 4 or greater, repeat this process. Demonlord Belzenlok deals 1 damage to you for each card put into your hand this way.",483
Dread Drone,"When Dread Drone enters the battlefield, create two 0/1 colorless Eldrazi Spawn creature tokens. They have “Sacrifice this creature: Add {C}.”",473
Goremand,"As an additional cost to cast this spell, sacrifice a creature.FlyingTrample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)When Goremand enters the battlefield, each opponent sacrifices a creature.",373
"Gorex, the Tombshell","As an additional cost to cast this spell, you may exile any number of creature cards from your graveyard. This spell costs {2} less to cast for each card exiled this way.DeathtouchWhenever Gorex, the Tombshell attacks or dies, choose a card at random exiled with Gorex and put that card into its owner’s hand.",235
Isareth the Awakener,"DeathtouchWhenever Isareth the Awakener attacks, you may pay {X}. When you do, return target creature card with mana value X from your graveyard to the battlefield with a corpse counter on it. If that creature would leave the battlefield, exile it instead of putting it anywhere else.",96
Legion Vanguard,"{1}, Sacrifice another creature: Legion Vanguard explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",221
Lotleth Giant,"Undergrowth — When Lotleth Giant enters the battlefield, it deals 1 damage to target opponent for each creature card in your graveyard.",243
"Mikaeus, the Unhallowed","Intimidate (This creature can’t be blocked except by artifact creatures and/or creatures that share a color with it.)Whenever a Human deals damage to you, destroy it.Other non-Human creatures you control get +1/+1 and have undying. (When a creature with undying dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",312
Mire Triton,"DeathtouchWhen Mire Triton enters the battlefield, mill two cards and you gain 2 life.",460
Nadier's Nightblade,"Whenever a token you control leaves the battlefield, each opponent loses 1 life and you gain 1 life.",31
Priest of the Blood Rite,"When Priest of the Blood Rite enters the battlefield, create a 5/5 black Demon creature token with flying.At the beginning of your upkeep, you lose 2 life.",443
"Rankle, Master of Pranks","Flying, hasteWhenever Rankle, Master of Pranks deals combat damage to a player, choose any number —• Each player discards a card.• Each player loses 1 life and draws a card.• Each player sacrifices a creature.",22
"Razaketh, the Foulblooded","Flying, tramplePay 2 life, Sacrifice another creature: Search your library for a card, put that card into your hand, then shuffle.",141
Rune-Scarred Demon,"FlyingWhen Rune-Scarred Demon enters the battlefield, search your library for a card, put it into your hand, then shuffle.",141
Serrated Scorpion,"When Serrated Scorpion dies, it deals 2 damage to each opponent and you gain 2 life.",25
"Taborax, Hope's Demise","FlyingTaborax, Hope’s Demise has lifelink as long as it has five or more +1/+1 counters on it.Whenever another nontoken creature you control dies, put a +1/+1 counter on Taborax. If that creature was a Cleric, you may draw a card. If you do, you lose 1 life.",16
Thorn of the Black Rose,"DeathtouchWhen Thorn of the Black Rose enters the battlefield, you become the monarch.",75
Twilight Prophet,"FlyingAscend (If you control ten or more permanents, you get the city’s blessing for the rest of the game.)At the beginning of your upkeep, if you have the city’s blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card’s mana value.",454
